#ID	Description	sub Description	Division	total	%div	top
S60559	{long control region} [human papillomavirus, type 16, Genomic, 860 nt].	{long control region}	Vertebrates	2	100	S70159S1,S70159S2
AJ421985	Agaricus bisporus virus X genomic RNA, band VX4CMF.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421984	Agaricus bisporus virus X genomic RNA, band VX4CMR.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421986	Agaricus bisporus virus X genomic RNA, band VX4DMF.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421987	Agaricus bisporus virus X genomic RNA, band VX4DMR.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421982	Agaricus bisporus virus X genomic RNA, band VX5AMF.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421983	Agaricus bisporus virus X genomic RNA, band VX5AMR.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421981	Agaricus bisporus virus X genomic RNA, band VX7.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421980	Agaricus bisporus virus X partial mRNA for putative RNA helicase, band VX6.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421979	Agaricus bisporus virus X partial mRNA for putative RNA helicase, band VX8.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
FR717140	Ageratum leaf curl Buea betasatellite, complete sequence, isolate SatB33.	Ageratum leaf curl	Plants	27	100	FM164737
FN675293	Ageratum leaf curl Cameroon alphasatellite [CM:AGLD3:Ag:09] complete sequence, isolate AGLD3.	Ageratum leaf curl Cameroon	Plants	11	100	FN298804
FN675292	Ageratum leaf curl Cameroon alphasatellite [CM:ODL1D1:Ok:09] complete sequence, isolate ODL1D1.	Ageratum leaf curl Cameroon	Plants	11	100	FN298804
FN675294	Ageratum leaf curl Cameroon alphasatellite [CM:ODL1D2:Ok:09] complete sequence, isolate ODL1D2.	Ageratum leaf curl Cameroon	Plants	11	100	FN298804
FN675295	Ageratum leaf curl Cameroon alphasatellite [CM:OMHD2:Ok:09] complete sequence, isolate OMHD2.	Ageratum leaf curl Cameroon	Plants	11	100	FN298804
FR717143	Ageratum leaf curl Cameroon alphasatellite, complete sequence, isolate SatA7.	Ageratum leaf curl Cameroon	Plants	11	100	FN298804
FR717139	Ageratum leaf curl Cameroon betasatellite, complete sequence, isolate SatB14.	Ageratum leaf curl Cameroon betasatellite, complete sequence, isolate	Plants	6	100	FN298804
FR717141	Ageratum leaf curl Cameroon betasatellite, complete sequence, isolate SatB35.	Ageratum leaf curl Cameroon betasatellite, complete sequence, isolate	Plants	6	100	FN298804
FR717138	Ageratum leaf curl Cameroon betasatellite, complete sequence, isolate SatB6.	Ageratum leaf curl Cameroon betasatellite, complete sequence, isolate	Plants	6	100	FN298804
AB306522	Ageratum yellow vein virus satellite DNA beta-[Ishigaki] DNA, complete genome.	Ageratum yellow vein virus satellite DNA	Plants	2	100	FJ869909,AJ252072
EF527824	Ageratum yellow vein virus satellite DNA beta isolate F2, complete sequence.	Ageratum yellow vein virus satellite DNA beta isolate	Plants	1	100	FJ869909
AY854645	Almpiwar virus strain MRM4059 polymerase mRNA, partial cds.	Almpiwar virus strain MRM4059	Vertebrates	1	100	JN882642
EU710765	Alternaria zinniae dsRNA element 49 kDa protein (p49) gene, complete cds.	Alternaria	Plants	3	100	AB368492,KJ013354,KJ817371
AB438027	Alternaria alternata virus 1 gene for hypothetical protein, complete cds, segment: M1.	Alternaria alternata virus 1	Plants	1	100	AB368492
AB438028	Alternaria alternata virus 1 gene for hypothetical protein, complete cds, segment: M2.	Alternaria alternata virus 1	Plants	1	100	AB368492
AB438029	Alternaria alternata virus 1 gene for hypothetical protein, complete cds, segment: S.	Alternaria alternata virus 1	Plants	1	100	AB368492
AM085136	Amasya cherry disease-associated mycovirus ORF for hypothetical protein, genomic RNA.	Amasya cherry	Plants,Fungi	8	80	AJ781163
AM085137	Amasya cherry disease-associated mycovirus ORF for hypothetical protein, genomic RNA.	Amasya cherry	Plants,Fungi	8	80	AJ781163
AM085134	Amasya cherry disease-associated mycovirus RdRp gene for putative RNA-dependent RNA polymerase 1, genomic RNA.	Amasya cherry	Plants,Fungi	8	80	AJ781163
AM085135	Amasya cherry disease-associated mycovirus RdRp gene for RNA-dependent RNA polymerase 2, genomic RNA.	Amasya cherry	Plants,Fungi	8	80	AJ781163
AM085138	Amasya cherry disease-associated virus satellite RNA, isolate A.	Amasya cherry	Plants,Fungi	8	80	AJ781163
AM085139	Amasya cherry disease-associated virus satellite RNA, isolate B.	Amasya cherry	Plants,Fungi	8	80	AJ781163
KF421878	Ambrosia asymptomatic virus 1 isolate 07TGP00132 putative RNA-dependent RNA polymerase gene, partial cds.	Ambrosia asymptomatic virus 1 isolate	Plants	25	100	KF421879
KF421890	Ambrosia asymptomatic virus 1 isolate 07TGP00139 clone A putative RNA-dependent RNA polymerase gene, partial cds.	Ambrosia asymptomatic virus 1 isolate	Plants	25	100	KF421879
AY057987	American bison gammaherpesvirus DNA packaging protein gene, partial cds.	American	Vertebrates	4254	98.86	CY166115
AY057986	American bison gammaherpesvirus DNA polymerase gene, partial cds.	American	Vertebrates	4254	98.86	CY166115
AAVSPHERE	Amsacta entomopoxvirus spheroidin gene, complete cds, and four vaccinia related orfs.	Amsacta	Invertebrates	9	100	AMEPVTK
AAVTHYKIN	Amsacta entomopoxvirus thymidine kinase gene, complete cds; Q1 ORF, complete cds; Q3 ORF, 5'end.	Amsacta	Invertebrates	9	100	AMEPVTK
AAVSPHER	Amsacta moorei entomopoxvirus spheroidin gene, complete cds.	Amsacta moorei entomopoxvirus	Invertebrates	4	100	AMEPVTK,AF250284,AMU30297,AMU80056
AJ236109	Anolis carolinensis retrovirus partial pol and pro genes isolate RV-Green anole.	Anolis	Vertebrates	3	100	KC544015,KC544016,KF886534
AB795264	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir1.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AB795265	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir2.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AB795266	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir3.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AB795267	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir4.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AB795268	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir5.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AB795269	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir6.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AB795270	Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir7.	Apple fruit crinkle viroid genomic RNA, complete genome,	Plants	3	100	AB366019,AB366020,AB366021
AMVSRNA	Arabis mosaic virus large satellite RNA gene for hypothetical protein, complete cds.	Arabis mosaic virus	Plants	100	100	AMVCP
SAM300CG	Arabis mosaic virus small satellite RNA, complete genome.	Arabis mosaic virus small satellite	Plants	1	100	GQ369531
AVSFRA	Arenavirus sp. (strain Guanarito) nucleocapsid protein (N) gene, partial cds.	Arenavirus	Vertebrates	8	100	EU486820
FJ383127	Arenavirus sp. 9408800235/ZAF nucleoprotein (NP) gene, partial cds.	Arenavirus	Vertebrates	8	100	EU486820
JF705863	Arvicola amphibius gammaherpesvirus 1 isolate 5553 DNA polymerase gene, partial cds.	Arvicola	Vertebrates	1	100	EF125060
FJ957923	ASFV-like virus WU isolate SF-10, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957909	ASFV-like virus WU isolate SF-3, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957910	ASFV-like virus WU isolate SF-6, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957911	ASFV-like virus WU isolate SF-8.1, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957912	ASFV-like virus WU isolate SF-8.2, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957913	ASFV-like virus WU isolate SF-8.3, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957914	ASFV-like virus WU isolate SF-8.4, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957915	ASFV-like virus WU isolate SF-8.5, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957916	ASFV-like virus WU isolate SF-8.6, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957917	ASFV-like virus WU isolate SF-8.7, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957918	ASFV-like virus WU isolate SF-8.8, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957919	ASFV-like virus WU isolate SF-8.9, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957920	ASFV-like virus WU isolate SF-9.1, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957921	ASFV-like virus WU isolate SF-9.2, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957922	ASFV-like virus WU isolate SF-9.3, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957924	ASFV-like virus WU isolate UA.1, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957933	ASFV-like virus WU isolate UA.10, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957934	ASFV-like virus WU isolate UA.11, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957935	ASFV-like virus WU isolate UA.12, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957936	ASFV-like virus WU isolate UA.13, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957937	ASFV-like virus WU isolate UA.14, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957938	ASFV-like virus WU isolate UA.15, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957925	ASFV-like virus WU isolate UA.2, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957926	ASFV-like virus WU isolate UA.3, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957927	ASFV-like virus WU isolate UA.4, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957928	ASFV-like virus WU isolate UA.5, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957929	ASFV-like virus WU isolate UA.6, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957930	ASFV-like virus WU isolate UA.7, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957931	ASFV-like virus WU isolate UA.8, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
FJ957932	ASFV-like virus WU isolate UA.9, genomic sequence.	ASFV-like virus WU isolate	Vertebrates	6	100	FJ957903
EF584908	Asian leopard cat coronavirus Guangxi/F230/2006 polyprotein (orf1b) gene, partial cds; and spike protein (S), envelope protein (E), membrane protein (M), hypothetical protein (NS6), nucleocapsid protein (N), and hypothetical protein (NS7) genes, complete cds.	Asian	Vertebrates	46	58.23	D85849
AF411190	Asian elephant endotheliolytic herpesvirus European case 4 glycoprotein B gene, complete cds.	Asian elephant endotheliolytic herpesvirus	Vertebrates	12	100	FJ515310
AF411188	Asian elephant endotheliolytic herpesvirus European case 6 glycoprotein B gene, complete cds.	Asian elephant endotheliolytic herpesvirus	Vertebrates	12	100	FJ515310
AF411187	Asian elephant endotheliolytic herpesvirus case 7 glycoprotein B gene, complete cds.	Asian elephant endotheliolytic herpesvirus case	Vertebrates	6	100	AF300864
AF411189	Asian elephant endotheliolytic herpesvirus case 8 glycoprotein B gene, complete cds.	Asian elephant endotheliolytic herpesvirus case	Vertebrates	6	100	AF300864
AF117265	Asian elephant endotheliolytic herpesvirus terminase gene, partial cds.	Asian elephant endotheliolytic herpesvirus terminase gene, partial	Vertebrates	3	100	AF354745,AF354746,AF354747
AF535209	Asinine herpesvirus 4.1 putative DNA terminase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AF535210	Asinine herpesvirus 4.2 putative DNA terminase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AF535208	Asinine herpesvirus 6 putative DNA terminase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054990	Asinine herpesvirus AHV4-1 DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054991	Asinine herpesvirus AHV4-2 DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054992	Asinine herpesvirus AHV4-3 DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054993	Asinine herpesvirus AHV5-1 DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054994	Asinine herpesvirus AHV5-2 DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054995	Asinine herpesvirus AHV5-3 DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AY054996	Asinine herpesvirus AHV5a DNA polymerase gene, partial cds.	Asinine herpesvirus	Vertebrates	3	100	FJ798319,KC825357,AHU24184
AF535207	Asinine herpesvirus 5 putative DNA terminase gene, partial cds.	Asinine herpesvirus 5	Vertebrates	2	100	FJ798319,KC825357
FN376847	Aspergillus fumigatus partitivirus 1 RdRp gene for RNA-dependent RNA polymerase, segment 1, genomic RNA, isolate 88.	Aspergillus fumigatus	Fungi	4	100	FN178512,FN178513,FN178514,FN178515
FN398100	Aspergillus fumigatus partitivirus-1 cp gene for coat protein, segment 2, genomic RNA, isolate 641014.	Aspergillus fumigatus	Fungi	4	100	FN178512,FN178513,FN178514,FN178515
HM209120	Astrovirus Hu/C2-031108/Singapore/2008 isolate C2-031108 capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
FJ222451	Astrovirus MLB1, complete genome.	Astrovirus	Vertebrates	150	100	FJ973620
AF440292	Astrovirus sp. isolate CAV1A capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440293	Astrovirus sp. isolate CAV1B capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440294	Astrovirus sp. isolate CAV1C capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440295	Astrovirus sp. isolate CAV1D capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440296	Astrovirus sp. isolate CAV1E capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440297	Astrovirus sp. isolate CAV1F capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440298	Astrovirus sp. isolate CAV1G capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440299	Astrovirus sp. isolate CAV2A capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440300	Astrovirus sp. isolate CAV2B capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440301	Astrovirus sp. isolate CAV2C capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440302	Astrovirus sp. isolate CAV3A capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440303	Astrovirus sp. isolate CAV3B capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440304	Astrovirus sp. isolate CAV3C capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440305	Astrovirus sp. isolate CAV3D capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440306	Astrovirus sp. isolate CAV3E capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440307	Astrovirus sp. isolate CAV3F capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440308	Astrovirus sp. isolate CAV3G capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440309	Astrovirus sp. isolate CAV3H capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440791	Astrovirus sp. strain CAV4A capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440792	Astrovirus sp. strain CAV4B capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440793	Astrovirus sp. strain CAV4C capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440794	Astrovirus sp. strain CAV4D capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440795	Astrovirus sp. strain CAV4E capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440796	Astrovirus sp. strain CAV4F capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
AF440797	Astrovirus sp. strain CAV4G capsid protein gene, partial cds.	Astrovirus	Vertebrates	150	100	FJ973620
FJ227124	Astrovirus MLB1 isolate WD0016 capsid protein gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227120	Astrovirus MLB1 isolate WD0016 putative serine protease gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227125	Astrovirus MLB1 isolate WD0055 capsid protein gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227121	Astrovirus MLB1 isolate WD0055 putative serine protease gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227126	Astrovirus MLB1 isolate WD0104 capsid protein gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227122	Astrovirus MLB1 isolate WD0104 putative serine protease gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227127	Astrovirus MLB1 isolate WD0227 capsid protein gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ227123	Astrovirus MLB1 isolate WD0227 putative serine protease gene, partial cds.	Astrovirus MLB1 isolate	Vertebrates	23	100	GQ441184
FJ402983	Astrovirus MLB1 strain WD0016, complete genome.	Astrovirus MLB1 strain	Vertebrates	1	100	KF417713
AF485374	Ateles geoffroyi papillomavirus isolate SMAA1 major capsid protein (L1) gene, partial cds.	Ateles geoffroyi	Vertebrates	1	100	JF692223
AHELTRU3U5	Avian hemangioma-inducing virus LTR U3 and U5 regions.	Avian	Vertebrates	3759	100	IBAMEM682
GQ496345	Avian bornavirus isolate Bird_3 matrix protein (M) gene, partial cds.	Avian bornavirus isolate	Vertebrates	63	100	GQ496343
GQ496354	Avian bornavirus isolate Bird_3 nucleoprotein (N) gene, partial cds.	Avian bornavirus isolate	Vertebrates	63	100	GQ496343
AY535004	Avian hepatitis E virus, complete genome.	Avian hepatitis E	Vertebrates	121	100	EU919186
EF206691	Avian hepatitis E virus from USA, complete genome.	Avian hepatitis E virus	Vertebrates	121	100	EU919186
AY043166	Avian hepatitis E virus polyprotein gene, partial cds; structural protein gene, complete cds; and unknown gene.	Avian hepatitis E virus	Vertebrates	121	100	EU919186
DQ660975	Avian hepatitis E virus isolate 13 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
DQ660976	Avian hepatitis E virus isolate 14 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
DQ660977	Avian hepatitis E virus isolate 16 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
DQ660978	Avian hepatitis E virus isolate 17 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870812	Avian hepatitis E virus isolate 2553-26F capsid gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870808	Avian hepatitis E virus isolate 2553-26F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870813	Avian hepatitis E virus isolate 2553-26S capsid gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870809	Avian hepatitis E virus isolate 2553-26S helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870814	Avian hepatitis E virus isolate 2553-27F capsid gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870810	Avian hepatitis E virus isolate 2553-27F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870815	Avian hepatitis E virus isolate 2553-27S capsid gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870816	Avian hepatitis E virus isolate 2553-28F capsid gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870811	Avian hepatitis E virus isolate 2553-28F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870817	Avian hepatitis E virus isolate 2553-28S capsid gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871086	Avian hepatitis E virus isolate 2791-11B helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871084	Avian hepatitis E virus isolate 2791-6S helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871085	Avian hepatitis E virus isolate 2791-7F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871087	Avian hepatitis E virus isolate 2792-6F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871088	Avian hepatitis E virus isolate 2873-5F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871089	Avian hepatitis E virus isolate 2873-6F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871081	Avian hepatitis E virus isolate 3769-2F helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871082	Avian hepatitis E virus isolate 3769-3B helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871083	Avian hepatitis E virus isolate 3773-3B helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
DQ660974	Avian hepatitis E virus isolate 4 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
DQ111980	Avian hepatitis E virus isolate 52505-19 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
DQ111981	Avian hepatitis E virus isolate 52505-22 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871090	Avian hepatitis E virus isolate Avian HEV-InoS helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870818	Avian hepatitis E virus isolate CA077 capsid protein gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AF531908	Avian hepatitis E virus isolate CA077 helicase mRNA, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY871091	Avian hepatitis E virus isolate CA240 helicase gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870819	Avian hepatitis E virus isolate CA242 capsid protein gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AF531898	Avian hepatitis E virus isolate CA242 helicase mRNA, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870820	Avian hepatitis E virus isolate CA518.3 capsid protein gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
AY870821	Avian hepatitis E virus isolate CA518.5 capsid protein gene, partial cds.	Avian hepatitis E virus isolate	Vertebrates	38	100	EU919186
