#genus	code	division
cebevirus	G0	Bacteria
charybdivirus	G1	Invertebrates
chitorquevirus	G10	Vertebrates
chuvivirus	G1	Invertebrates
citlodavirus	G4	Plants
cocosatellite	G4	Plants
cofodevirus	G4	Plants
coprasatellite	G4	Plants
culicidavirus	G1	Invertebrates
cunavirus	G0	Bacteria
deltanudivirus	G1	Invertebrates
diciambidensovirus	G1	Invertebrates
dobrovirus	G10	Vertebrates
draflysatellite	G1	Invertebrates
dyodeltapapillomavirus	G10	Vertebrates
epsilonpolyomavirus	G10	Vertebrates
felismacovirus	G10	Vertebrates
formivirus	G1	Invertebrates
gammanudivirus	G1	Invertebrates
gemykrogvirus	G10,G1	Vertebrates,Invertebrates
gemytripvirus	G4	Plants
gruhelivirus	G10	Vertebrates
grusopivirus	G10	Vertebrates
hagavirus	G0	Bacteria
inpeasmacovirus	G10	Vertebrates
kobbarisatellite	G4	Plants
lentimonavirus	G4	Plants
livvievirus	G0	Bacteria
maldovirus	G4	Plants
manticavirus	G10	Vertebrates
merhavirus	G1	Invertebrates
morsusvirus	G1	Invertebrates
muscarsatellite	G4	Plants
muscodensovirus	G1	Invertebrates
myriavirus	G1	Invertebrates
nigecruvirus	G1	Invertebrates
norwavirus	G1	Invertebrates
obscuruvirus	G1	Invertebrates
odonatavirus	G1	Invertebrates
ollusvirus	G1	Invertebrates
omegatorquevirus	G10	Vertebrates
opunvirus	G4,G1	Plants,Invertebrates
orthocurvulavirus	G4	Plants
paulavirus	G0	Bacteria
pediavirus	G1	Invertebrates
penicillimonavirus	G4,G1	Plants,Invertebrates
penoulivirus	G4	Plants
phipapillomavirus	G10	Vertebrates
phyllomonavirus	G1	Invertebrates
piscichuvirus	G10,G1	Vertebrates,Invertebrates
plasmopamonavirus	G4	Plants
pontunivirus	G10	Vertebrates
pterovirus	G1	Invertebrates
quwivirus	G10	Vertebrates
rajidapivirus	G10	Vertebrates
rhotorquevirus	G10	Vertebrates
ruflodivirus	G4	Plants
sabavirus	G1	Invertebrates
scarabeuvirus	G1	Invertebrates
sigmatorquevirus	G10	Vertebrates
somasatellite	G4	Plants
taceavirus	G1	Invertebrates
tautorquevirus	G10	Vertebrates
testadenovirus	G10	Vertebrates
tettorquevirus	G10	Vertebrates
topilevirus	G4	Plants
torbevirus	G10	Vertebrates
tropivirus	G10	Vertebrates
wawtorquevirus	G10,G1	Vertebrates,Invertebrates
whiflysatellite	G11	EnvironmentalSamples
xinspivirus	G1	Invertebrates
xitorquevirus	G10	Vertebrates
zetapolyomavirus	G10	Vertebrates
